Author,Title
forest laurie,The Black Witch
deborah harkness,Shadow of Night
diana athill,Somewhere Towards the End
clare cassandra,Chain Of Iron
reyes sonora,The Lesbiana's Guide to Catholic School
amy ignatow,The Rocky Road Trip of Lydia Goldblatt and Julie Graham-Chang
ian mcewan,On Chesil Beach
suzanne brockmann,Over the Edge
dav pilkey,Captain Underpants and the Sensational Saga of Sir Stink-a-Lot
mary higgins clark,Moonlight Becomes You
alex flinn,Bewitching
dunn pintip,Dating Makes Perfect
archer jeffrey,Sons of Fortune
ostrom melissa,The Beloved Wild
rees celia,This is Not Forgiveness
rin chupeco,The Never Tilting World
david levithan,The Realm of Possibility
coontz stephanie,The Way We Never Were: American Families and the Nostalgia Trap
diana gabaldon,An Echo in the Bone
king stephen,Skeleton Crew
summers courtney,The Project
james ellroy,The Black Dahlia
daria snadowsky,Anatomy of a Single Girl
kidd jess,Things in Jars
goodman jessica,They Wish They Were Us
hirsh ananth,Lucky Penny
rice anne,Queen of the Damned
small david,Home After Dark
chbosky stephen,The Perks of Being a Wallflower
jo knowles,See You at Harry's
joshua hanagarne,The World's Strongest Librarian: A Book Lover's Adventures
k. ancrum,Murder of Crows
lauren myracle,The Infinite Moment of Us
sarah pinborough,13 Minutes
v.c. andrews,If There Be Thorns
morris brittney,Slay
sid jacobson,Anne Frank: The Anne Frank House Authorized Graphic Biography
john milton,Paradise Lost and Paradise Regained
francesca lia block,I Was a Teenage Fairy
alok vaid-menon,Beyond the Gender Binary
kim hyun sook,Banned Book Club
tommy wallach,We All Looked Up
jack henry abbott,In the Belly of the Beast: Letters From Prison
allison anthony,Hear These Voices: Youth at the Edge of the Millennium
robin bridges,Dreaming of Antigone
perkins stephanie,Anna and the French Kiss
geoff tibbals,Ripley's Believe It or Not!: Shatter Your Senses!
amy ignatow,The Awesomely Awful Melodies of Lydia Goldblatt and Julie Graham-Chang
king stephen,The Girl Who Loved Tom Gordon
peirce lincoln,Big Nate: A Good Old-Fashioned Wedgie
john m. cusick,Cherry Money Baby
king stephen,Dreamcatcher
nicky silver,The Food Chain (Play)
king stephen,The Waste Lands
maya angelou,Singin' and Swingin' and Gettin' Merry Like Christmas
janet nichols lynch,Messed Up
julie murphy,Ramona Blue
orson scott card,Shadow of the Hegemon
diana gabaldon,Written in My Own Heart's Blood
maya angelou,I Know Why The Caged Bird Sings
susan campbell bartoletti,They Called Themselves The K.K.K.: The Birth of an American Terrorist Group
e. l. james,Fifty Shades of Grey
kylie schachte,You're Next
scarlett st. clair,King of Battle and Blood
sara shepard,Flawless
leah scheier,The Last Words We Said
stein tammar,Light Years
michael crichton,Micro
maya angelou,Now Sheba Sings the Song
keith richards,Life
woodson jacqueline,Red at the Bone
marsha forchuk skyrpuch,Stolen Girl
mason deaver,The Feeling of Falling in Love
jack kerouac,The Dharma Bums
amy reed,The Nowhere Girls
colin p. clarke,Terrorism Inc.: The Financing of Terrorism Insurgency and Irregular Warfare
louise rennison,Are These My Basoomas I See Before Me: Fab Final Confessions of Georgia Nicolson
khan sabina,The Love and Lies of Rukhsana Ali
flynn gillian,The Grownup
sam moussavi,Hoop City: Chicago
james nelson,On the Volcano
tatiana de rosnay,A Secret Kept
krensky stephen,Leonardo da Vinci
jennifer l. armentrout,Opposition
c. s. lewis,That Hideous Strength: A Modern Fairy-Tale for Grown-Ups
murphy monica,Playing Hard to Get
orson scott card,Ender's Shadow
sarah j. maas,Kingdom of Ash
ann brashares,The Second Summer Of The Sisterhood
christina hammonds reed,The Black Kids
todd anna,After We Collided
e. lockhart,Fly on the Wall: How One Girl Saw Everything
jim ottaviani,The Imitation Game: Alan Turing Decoded
matson morgan,Since You've Been Gone
angie thomas,The Hate U Give
stead rebecca,The List of Things That Will Not Change
cammie mcgovern,Say What You Will
erik j. brown,All That's Left in the World
marcus emerson,Recess Warriors: Hero Is A Four-Letter Word
peirce lincoln,Big Nate: The Crowd Goes Wild
steven brezenoff,The Absolute Value of -1
art spiegelman,Maus 1: A Survivor's Tale: My Father Bleeds History
andrea robertson,Snakeroot
orlagh collins,All the Invisible Things
lauren barnholdt,Two-Way Street
klass david,You Don't Know Me
garber romina,Lobizona
cronin justin,The Passage
sophie kinsella,Confessions of a Shopaholic
patricia mccormick,Cut
octavia e. butler,Kindred: A Graphic Novel Adaptation
king stephen,Christine
wells rebecca,Divine Secrets of the Ya-Ya Sisterhood
clayton dhonielle,Blackout
robert shapard,Sudden Fiction: American Short Stories
kacen callender,Hurricane Child
john burdett,Bangkok 8
leigh bardugo,Wonder Woman: Warbringer
king stephen,Elevation
meg cabot,Insatiable
meg cabot,Princess in Training
noyes deborah,Plague in the Mirror
melissa de la cruz,Bloody Valentine
kyle lukoff,When Aidan Became a Brother
amie kaufman,Illuminae
true kelley,Who Is Dolly Parton?
ilsa j. bick,Monsters
emily bronte,Wuthering Heights
marilyn reynolds,Too Soon For Jeff
steel danielle,Lightning
king stephen,Sleeping Beauties
yoon nicola,Everything Everything
stacey wallace benefiel,Glimpse: A YA Paranormal Romance
judith rossner,Perfidia
steve brewer,Monkey Man
kathi appelt,Keeper
maryann jacob macias,Téo's Tutu
brandy colbert,Finding Yvonne
kathy stinson,101 Ways to Dance
david macaulay,The Way We Work: Getting to Know the Amazing Human Body
claire lazebnik,Wrong About the Guy
beth revis,Across the Universe
mcgee katharine,Reign
aidan chambers,Postcards From No Man's Land
claire legrand,Sawkill Girls
bray libba,Before the Devil Breaks You
diana gabaldon,Dragonfly in Amber
creech sharon,Walk Two Moons
dee barbara,Maybe He Just Likes You
tomi adeyemi,Children of Blood and Bone
kami garcia,Beautiful Redemption
hoover colleen,Losing Hope
