Title,Mapped Genres
The Black Witch,"fantasy, young adult, witches, romance, magic, young adult, fiction"
Shadow of Night,"fantasy, romance, fiction, historical, paranormal, vampires, witches"
Somewhere Towards the End,"memoir, non-fiction, biography, autobiography, biography, essays, womens"
Chain Of Iron,"fantasy, young adult, romance, historical, young adult, urban, paranormal"
The Lesbiana's Guide to Catholic School,"romance, lgbt, young adult, queer, lesbian, contemporary, fiction"
The Rocky Road Trip of Lydia Goldblatt and Julie Graham-Chang,"middle grade, graphic novel, childrens, humor, realistic fiction, fiction, lgbt"
On Chesil Beach,"fiction, historical, literary fiction, contemporary, romance, british literature, "
Over the Edge,"romance, romance, suspense, military, contemporary, contemporary, fiction"
Captain Underpants and the Sensational Saga of Sir Stink-a-Lot,"childrens, humor, fiction, graphic novel, middle grade, chapter books, comic book"
Moonlight Becomes You,"mystery, fiction, suspense, thriller, mystery, crime, adult"
Bewitching,"fantasy, young adult, romance, fairy tales, retellings, magic, witches"
Dating Makes Perfect,"romance, young adult, contemporary, young adult, young adult, enemies to lovers, fiction"
Sons of Fortune,"fiction, thriller, historical, drama, mystery, , politics"
The Beloved Wild,"historical, young adult, historical, fiction, romance, young adult, teen"
This is Not Forgiveness,"young adult, contemporary, romance, mystery, realistic fiction, drama, fiction"
The Never Tilting World,"fantasy, young adult, lgbt, romance, young adult, lesbian, fiction"
The Realm of Possibility,"young adult, poetry, lgbt, fiction, contemporary, romance, queer"
The Way We Never Were: American Families and the Nostalgia Trap,"historical, non-fiction, social, feminism, politics, american, historical"
An Echo in the Bone,"historical, romance, fantasy, fiction, time travel, historical, historical"
Skeleton Crew,"horror, short stories, fiction, fantasy, thriller, anthology, audiobook"
The Project,"young adult, thriller, mystery, contemporary, mystery, fiction, audiobook"
The Black Dahlia,"mystery, fiction, crime, noir, historical, true crime, thriller"
Anatomy of a Single Girl,"young adult, romance, new adult, contemporary, realistic fiction, fiction, young adult"
Things in Jars,"historical, fantasy, mystery, fiction, magic, historical, gothic"
They Wish They Were Us,"mystery, young adult, thriller, mystery, contemporary, fiction, audiobook"
Lucky Penny,"graphic novel, romance, young adult, humor, fiction, graphic novel, contemporary"
Queen of the Damned,"horror, fantasy, vampires, fiction, paranormal, supernatural, urban"
Home After Dark,"graphic novel, comic book, fiction, young adult, coming of age, historical, graphic novel"
The Perks of Being a Wallflower,"young adult, fiction, classics, coming of age, romance, mental health, realistic fiction"
See You at Harry's,"young adult, realistic fiction, middle grade, contemporary, fiction, family, death"
The World's Strongest Librarian: A Book Lover's Adventures,"non-fiction, memoir, biography, books about books, biography, audiobook, humor"
Murder of Crows,"young adult, mystery, lgbt, contemporary, mystery, fiction, thriller"
The Infinite Moment of Us,"young adult, romance, contemporary, realistic fiction, fiction, , teen"
13 Minutes,"young adult, mystery, thriller, fiction, contemporary, mystery, crime"
If There Be Thorns,"fiction, horror, young adult, romance, gothic, thriller, drama"
Slay,"young adult, contemporary, fiction, audiobook, realistic fiction, science fiction, young adult"
Anne Frank: The Anne Frank House Authorized Graphic Biography,"graphic novel, biography, non-fiction, historical, holocaust, comic book, historical"
Paradise Lost and Paradise Regained,"classics, poetry, fiction, , religion, philosophy, fantasy"
I Was a Teenage Fairy,"young adult, fantasy, fiction, magic, urban, romance, teen"
Beyond the Gender Binary,"non-fiction, lgbt, queer, gender, feminism, audiobook, memoir"
Banned Book Club,"graphic novel, non-fiction, memoir, historical, historical, biography, politics"
We All Looked Up,"young adult, contemporary, fiction, science fiction, romance, dystopia, realistic fiction"
In the Belly of the Beast: Letters From Prison,"non-fiction, biography, true crime, crime, memoir, psychology, biography"
Hear These Voices: Youth at the Edge of the Millennium,", non-fiction"
Dreaming of Antigone,"young adult, contemporary, romance, abuse, realistic fiction, poetry, death"
Anna and the French Kiss,"romance, young adult, contemporary, fiction, chick lit, realistic fiction, contemporary"
Ripley's Believe It or Not!: Shatter Your Senses!,"non-fiction, trivia"
The Awesomely Awful Melodies of Lydia Goldblatt and Julie Graham-Chang,"middle grade, graphic novel, childrens, humor, realistic fiction, juvenile, graphic novel"
The Girl Who Loved Tom Gordon,"horror, fiction, thriller, suspense, mystery, fantasy, audiobook"
Big Nate: A Good Old-Fashioned Wedgie,"graphic novel, humor, childrens, comic book, fiction, middle grade, juvenile"
Cherry Money Baby,"young adult, contemporary, romance, realistic fiction, fiction, coming of age, chick lit"
Dreamcatcher,"horror, fiction, science fiction, thriller, fantasy, aliens, supernatural"
The Food Chain (Play),"plays, theatre, drama"
The Waste Lands,"fantasy, fiction, horror, science fiction, audiobook, adventure, westerns"
Singin' and Swingin' and Gettin' Merry Like Christmas,"non-fiction, memoir, biography, autobiography, biography, african american, classics"
Messed Up,"young adult, realistic fiction, teen, fiction, urban, drama, survival"
Ramona Blue,"young adult, lgbt, contemporary, romance, queer, fiction, audiobook"
Shadow of the Hegemon,"science fiction, fiction, science fiction, fantasy, young adult, audiobook, adventure"
Written in My Own Heart's Blood,"historical, romance, fiction, fantasy, time travel, historical, historical"
I Know Why The Caged Bird Sings,"non-fiction, classics, memoir, biography, autobiography, poetry, feminism"
They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,"non-fiction, historical, american, historical, teen, race, african american"
Fifty Shades of Grey,"fiction, erotica, bdsm, adult, contemporary, contemporary, chick lit"
You're Next,"mystery, young adult, thriller, lgbt, mystery, contemporary, fiction"
King of Battle and Blood,"fantasy, vampires, fantasy, romance, enemies to lovers, paranormal, adult"
Flawless,"young adult, mystery, fiction, contemporary, romance, chick lit, thriller"
The Last Words We Said,"young adult, romance, contemporary, judaism, realistic fiction, fiction, judaism"
Light Years,"young adult, israel, fiction, teen, realistic fiction, adult, war"
Micro,"science fiction, fiction, thriller, adventure, mystery, audiobook, horror"
Now Sheba Sings the Song,"poetry, art, african american, non-fiction"
Life,"music, biography, non-fiction, memoir, autobiography, audiobook, biography"
Red at the Bone,"fiction, historical, audiobook, contemporary, literary fiction, adult, lgbt"
Stolen Girl,"historical, middle grade, historical, young adult, fiction, world war ii, war"
The Feeling of Falling in Love,"romance, lgbt, queer, young adult, contemporary, fiction, transgender"
The Dharma Bums,"fiction, classics, , , travel, philosophy, american"
The Nowhere Girls,"young adult, contemporary, feminism, lgbt, fiction, realistic fiction, young adult"
Terrorism Inc.: The Financing of Terrorism Insurgency and Irregular Warfare,non-fiction
Are These My Basoomas I See Before Me: Fab Final Confessions of Georgia Nicolson,"young adult, romance, humor, fiction, contemporary, chick lit, teen"
The Love and Lies of Rukhsana Ali,"young adult, lgbt, contemporary, queer, romance, fiction, lesbian"
The Grownup,"short stories, fiction, horror, thriller, mystery, mystery, audiobook"
Hoop City: Chicago,"sports, young adult, realistic fiction"
On the Volcano,"historical, young adult, westerns, survival, coming of age, historical"
A Secret Kept,"fiction, historical, france, mystery, adult, contemporary, audiobook"
Leonardo da Vinci,"biography, art"
Opposition,"young adult, fantasy, romance, paranormal, aliens, science fiction, paranormal"
That Hideous Strength: A Modern Fairy-Tale for Grown-Ups,"fiction, science fiction, fantasy, christianity, classics, christianity, science fiction"
Playing Hard to Get,"sports, romance, sports, college, football, new adult, friends to lovers"
Ender's Shadow,"science fiction, fiction, young adult, fantasy, science fiction, audiobook, space"
Kingdom of Ash,"young adult, romance, romance, fae, fiction, magic, new adult"
The Second Summer Of The Sisterhood,"young adult, fiction, chick lit, contemporary, romance, teen, realistic fiction"
The Black Kids,"young adult, historical, contemporary, fiction, audiobook, historical, race"
After We Collided,"romance, new adult, young adult, contemporary, fiction, college, contemporary"
Fly on the Wall: How One Girl Saw Everything,"young adult, contemporary, fantasy, fiction, romance, magic, chick lit"
The Imitation Game: Alan Turing Decoded,"graphic novel, non-fiction, biography, historical, comic book, science, lgbt"
Since You've Been Gone,"young adult, contemporary, romance, fiction, young adult, realistic fiction, audiobook"
The Hate U Give,"young adult, fiction, contemporary, audiobook, realistic fiction, race, social"
The List of Things That Will Not Change,"middle grade, realistic fiction, lgbt, fiction, family, contemporary, audiobook"
Say What You Will,"young adult, romance, contemporary, fiction, realistic fiction, disability, mental health"
All That's Left in the World,"romance, lgbt, young adult, queer, dystopia, science fiction, fiction"
Recess Warriors: Hero Is A Four-Letter Word,"graphic novel, fantasy, middle grade, comic book, juvenile, adventure, childrens"
Big Nate: The Crowd Goes Wild,"graphic novel, comic book, childrens, humor, fiction, middle grade, school"
The Absolute Value of -1,"young adult, contemporary, fiction, realistic fiction, death, teen"
